Brand,product_color,RAM_GB,ROM_GB,Offer,Ratings,Selling_Price,Total
Poco,Power Black,4,64,29,4.2,8499,11999
Motorola,Atlantic Green,4,64,41,4.2,9999,16999
Motorola,Metallic Rose,4,64,41,4.2,9999,16999
Motorola,Lavender Blue,4,128,28,3.9,9999,13999
Redmi,Black,2,32,37,4.2,6299,9999
Poco,Power Black,6,128,32,4.1,9499,13999
Poco,Cool Blue,6,128,32,4.1,9499,13999
Redmi,Light Green,2,32,37,4.2,6299,9999
Motorola,Matte Charcoal,4,128,28,3.9,9999,13999
Poco,Forest Green,6,128,32,4.1,9499,13999
Samsung,Dark Blue,4,64,29,4.1,8123,11499
Redmi,Light Blue,2,32,37,4.2,6299,9999
Redmi,Flashy Black,4,64,26,4.3,10999,14999
Samsung,Opal Green,4,64,26,4.2,8499,11499
Redmi,Peppy Purple,4,64,26,4.3,10999,14999
Samsung,Jade Purple,4,64,26,4.2,8499,11499
Redmi,Lavender Purple,4,64,37,4.2,8714,13999
Vivo,Orchid Blue,3,32,34,4.3,8499,12999
Poco,Shadow Gray,4,64,37,4.3,7499,11999
Samsung,Light Green,4,128,30,4.1,9335,13499
Oppo,Blue,3,64,26,4.5,9499,12999
Redmi,Sunrise Orange,4,64,33,4.3,9999,14999
Redmi,Shadow Black,4,64,33,4.3,9999,14999
Infinix,Force Black,4,64,23,4.2,9999,12999
Vivo,Cosmic Grey,3,32,34,4.3,8499,12999
Redmi,Coral Green,6,128,26,4.2,9499,12999
Samsung,Onyx,2,32,33,4.1,6985,10490
Motorola,Eco Black,4,64,20,3.9,8799,10999
Redmi,Matte Black,4,64,36,4.2,8820,13999
Realme,Stripe Blue,4,64,28,4.2,8599,11999
Redmi,Light Blue,2,32,25,4.2,6699,8999
Oppo,Navy Blue,3,64,26,4.5,9499,12999
Redmi,Caribbean Green,4,64,33,4.3,9999,14999
Oppo,Navy Blue,3,64,23,4.5,9899,12999
Oppo,Gold,3,64,26,4.5,9499,12999
Realme,Watery Grey,4,128,16,4.4,9999,11999
Realme,Dark Blue,4,64,10,4.2,8979,9999
Redmi,Metallic Purple,4,64,9,4.2,9980,10999
Tecno,Endless Black,4,64,19,4.3,8090,9999
Samsung,Dark Blue,4,128,22,4.1,10470,13499
Redmi,Midnight Black,4,64,33,4.3,9999,14999
Realme,Cross Black,3,32,5,4.4,9499,9999
Samsung,Bronze,2,32,31,4.1,7185,10499
Redmi,Sky Blue,4,64,6,4.2,10249,10999
Redmi,Pacific Blue,4,64,33,4.3,9999,14999
Realme,Sandy Gold,4,64,23,4.4,9999,12999
Realme,Aqua Blue,4,64,23,4.4,9999,12999
Realme,Night Sea,4,64,23,4.4,9999,12999
Redmi,Royal Blue,4,64,33,4.2,9249,13999
Redmi,Metallic Blue,2,32,10,4.1,8490,9499
Infinix,Emerald Green,4,64,16,4.3,9999,11999
Infinix,Silver Wave,4,64,16,4.3,9999,11999
Redmi,Carbon Black,4,64,9,4.2,9999,10999
Realme,Night Sea,4,64,23,4.4,9999,12999
