Product_Name,Total,Selling_Price,Offer,Ratings,Description
"POCO C55 (Power Black, 64 GB)","₹11,999","₹8,499",29% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.04 cm (6.71 inch) HD+ Display 50MP Dual Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"MOTOROLA g42 (Atlantic Green, 64 GB)","₹16,999","₹9,999",41% off,4.2,4 GB RAM | 64 GB ROM 16.43 cm (6.47 inch) Full HD+ AMOLED Display 50MP + 8MP + 2MP | 16MP Front Camera 5000 mAh Lithium polymer Battery Qualcomm Snapdragon 680 Processor 1 Year on Handset and 6 Months on Accessories
"MOTOROLA g42 (Metallic Rose, 64 GB)","₹16,999","₹9,999",41% off,4.2,4 GB RAM | 64 GB ROM 16.43 cm (6.47 inch) Full HD+ AMOLED Display 50MP + 8MP + 2MP | 16MP Front Camera 5000 mAh Lithium polymer Battery Qualcomm Snapdragon 680 Processor 1 Year on Handset and 6 Months on Accessories
"MOTOROLA g13 (Lavender Blue, 128 GB)","₹13,999","₹9,999",28% off,3.9,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI A1+ (Black, 32 GB)","₹9,999","₹6,299",37% off,4.2,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB 16.56 cm (6.52 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio A22 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"POCO C55 (Power Black, 128 GB)","₹13,999","₹9,499",32% off,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.04 cm (6.71 inch) HD+ Display 50MP Dual Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO C55 (Cool Blue, 128 GB)","₹13,999","₹9,499",32% off,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.04 cm (6.71 inch) HD+ Display 50MP Dual Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI A1+ (Light Green, 32 GB)","₹9,999","₹6,299",37% off,4.2,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB 16.56 cm (6.52 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio A22 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹13,999","₹9,999",28% off,3.9,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year on Handset and 6 Months on Accessories
"POCO C55 (Forest Green, 128 GB)","₹13,999","₹9,499",32% off,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.04 cm (6.71 inch) HD+ Display 50MP Dual Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
